dataset,strategy,budget_fraction,budget,seed,auc,n_sampled,pool_size,sampling_time,inference_time,n_classes
higgs,random,0.1,1000,1,0.7391426966405765,1000,78440,0.001,12.486,2
higgs,stratified,0.1,1000,1,0.7493425087939725,1000,78440,0.011,12.607,2
higgs,random,0.1,1000,2,0.7496482691930767,1000,78440,0.001,12.673,2
higgs,stratified,0.1,1000,2,0.7617509873504527,1000,78440,0.011,13.11,2
higgs,random,0.1,1000,3,0.7586410320743822,1000,78440,0.001,13.195,2
higgs,stratified,0.1,1000,3,0.7527668526993359,1000,78440,0.011,13.203,2
higgs,random,0.1,1000,4,0.7424241931721884,1000,78440,0.001,13.236,2
higgs,stratified,0.1,1000,4,0.7476539842117033,1000,78440,0.009,12.545,2
higgs,random,0.25,2500,1,0.7653409732097868,2500,78440,0.001,24.749,2
higgs,stratified,0.25,2500,1,0.7705247938414823,2500,78440,0.01,25.48,2
higgs,random,0.25,2500,2,0.7681555620942826,2500,78440,0.001,24.914,2
higgs,stratified,0.25,2500,2,0.7765017494840318,2500,78440,0.01,26.596,2
higgs,random,0.25,2500,3,0.7723063829158795,2500,78440,0.001,25.337,2
higgs,stratified,0.25,2500,3,0.7708939215683441,2500,78440,0.009,24.66,2
higgs,random,0.25,2500,4,0.7682677491523868,2500,78440,0.001,24.663,2
higgs,stratified,0.25,2500,4,0.7680378569819879,2500,78440,0.009,25.496,2
higgs,random,0.5,5000,1,0.7786263809382089,5000,78440,0.001,44.094,2
higgs,stratified,0.5,5000,1,0.7815577519150259,5000,78440,0.009,45.352,2
higgs,random,0.5,5000,2,0.7794398223884835,5000,78440,0.001,45.173,2
higgs,stratified,0.5,5000,2,0.7807814319202139,5000,78440,0.01,43.826,2
higgs,random,0.5,5000,3,0.7797330618209883,5000,78440,0.001,46.611,2
higgs,stratified,0.5,5000,3,0.7787109777253609,5000,78440,0.009,45.875,2
higgs,random,0.5,5000,4,0.7820814654218258,5000,78440,0.001,45.383,2
higgs,stratified,0.5,5000,4,0.7801211114573104,5000,78440,0.01,45.178,2
higgs,random,1.0,10000,1,0.7881354129695703,10000,78440,0.001,104.34,2
higgs,stratified,1.0,10000,1,0.7839161482103606,10000,78440,0.009,103.322,2
higgs,random,1.0,10000,2,0.7887547393062517,10000,78440,0.001,112.093,2
higgs,stratified,1.0,10000,2,0.7864373371371388,10000,78440,0.01,106.108,2
higgs,random,1.0,10000,3,0.7856778722896722,10000,78440,0.001,107.424,2
higgs,stratified,1.0,10000,3,0.7867251789093628,10000,78440,0.011,107.875,2
higgs,random,1.0,10000,4,0.7859263853847573,10000,78440,0.001,109.467,2
higgs,stratified,1.0,10000,4,0.7863481653814215,10000,78440,0.011,113.769,2
MiniBooNE,random,0.1,1000,1,0.971024672893048,1000,104051,0.001,25.998,2
MiniBooNE,stratified,0.1,1000,1,0.9705689196925212,1000,104051,0.013,26.077,2
MiniBooNE,random,0.1,1000,2,0.9711943914218528,1000,104051,0.001,26.235,2
MiniBooNE,stratified,0.1,1000,2,0.9723982734087228,1000,104051,0.015,26.099,2
MiniBooNE,random,0.1,1000,3,0.9721279424070624,1000,104051,0.001,26.143,2
MiniBooNE,stratified,0.1,1000,3,0.9738365215251245,1000,104051,0.013,26.088,2
MiniBooNE,random,0.1,1000,4,0.9732591020354135,1000,104051,0.001,25.766,2
MiniBooNE,stratified,0.1,1000,4,0.9736425291845524,1000,104051,0.014,25.744,2
MiniBooNE,random,0.25,2500,1,0.9767410069490474,2500,104051,0.001,47.452,2
MiniBooNE,stratified,0.25,2500,1,0.9770336302268204,2500,104051,0.014,45.897,2
MiniBooNE,random,0.25,2500,2,0.9768211105278792,2500,104051,0.001,45.858,2
MiniBooNE,stratified,0.25,2500,2,0.9780913987283694,2500,104051,0.013,45.25,2
MiniBooNE,random,0.25,2500,3,0.9766370010963836,2500,104051,0.001,44.088,2
